name,description
World," which explores global events and trends throughout history."
Americas," which delves into the rich history of North, Central, and South America."
Asia," which focuses on the diverse cultures and historical developments in Asia."
Military," which examines wars, conflicts, military strategy, and their impact on history."
Europe," which covers the complex history of the European continent."
Russia," which specifically studies the history of Russia, its empires, and its role in the world."
Africa," which explores the vast and diverse histories of African nations and cultures."
Ancient Civilizations," which investigates the origins, rise, and fall of early civilizations."
Middle East," which examines the history of the Middle East, including its cultures and pivotal events."
Historical Study & Educational Resources," which provides tools, guides, and resources for the study of history."
Australia & Oceania," which focuses on the history of Australia, New Zealand, and Pacific Island nations."
Arctic & Antarctica," which explores the history and significance of the polar regions."
